"","clust_nr","temp_dist","values"
"158","1",-34.3,12.5998246188239
"159","1",-34.2,12.5927409974066
"160","1",-34.1,12.5855744834273
"161","1",-34,12.5783945304413
"162","1",-33.9,12.5712209189785
"163","1",-33.8,12.5640084938257
"164","1",-33.7,12.5567191180617
"165","1",-33.6,12.5493226022085
"166","1",-33.5,12.5418120252386
"167","1",-33.4,12.5342079514161
"168","1",-33.3,12.5265388704618
"169","1",-33.2,12.5187920339482
"170","1",-33.1,12.5109470986805
"171","1",-33,12.5029732217203
"172","1",-32.9,12.4948500839886
"173","1",-32.8,12.4866075326759
"174","1",-32.7,12.4782780210731
"175","1",-32.6,12.4699088111283
"176","1",-32.5,12.46157924708
"177","1",-32.4,12.4533882983794
"178","1",-32.3,12.4454032183981
"179","1",-32.2,12.4376442107937
